CustomerAccountNumber,TotalAmount,AvgAmount,TransactionCount,AvgBalance
CUST10000311359,749.31,749.31,1,367692.56
CUST10001035414,140.32,140.32,1,250125.92
CUST10003181749,1140.51,1140.51,1,444927.74
CUST10008125098,1041.07,1041.07,1,344391.83
CUST10009880661,10666.3,10666.3,1,88878.89
CUST10011476578,581.81,581.81,1,221954.66
CUST10011615533,5411.49,5411.49,1,109936.74
CUST10019987833,1131.76,1131.76,1,303202.82
CUST10022655151,2160.54,2160.54,1,440962.61
CUST10025907735,9518.63,9518.63,1,237076.8
CUST10026284897,310.44,310.44,1,407331.08
CUST10034027379,3371.41,3371.41,1,336438.54
CUST10036643373,2773.41,2773.41,1,222437.66
CUST10036744539,55.16,55.16,1,25521.29
CUST10044093982,1770.81,1770.81,1,258681.57
CUST10047502721,596.62,596.62,1,97322.34
CUST10051533964,4100.68,4100.68,1,450432.59
CUST10057105522,981.24,981.24,1,87134.14
CUST10060512248,140.13,140.13,1,92893.08
CUST10069344242,550.91,550.91,1,471952.61
CUST10076890829,1920.57,1920.57,1,27639.9
CUST10082050139,232.96,232.96,1,378389.72
CUST10084417464,3851.61,3851.61,1,385367.34
CUST10085286025,632.71,632.71,1,496.23
CUST10087742758,320.01,320.01,1,249591.73
CUST10095277815,140.17,140.17,1,89081.07
CUST10102289326,579.88,579.88,1,68096.15
CUST10108962996,127.95,127.95,1,100101.32
CUST10112393230,413.87,413.87,1,433123.53
CUST10120428747,265.9,265.9,1,336188.11
CUST10136222604,3688.36,3688.36,1,148468.15
CUST10140001852,4087.17,4087.17,1,136120.28
CUST10145354599,397.65,397.65,1,120333.45
CUST10149968821,5827.48,5827.48,1,458100.04
CUST10156565014,181.45,181.45,1,482953.8
CUST10165517230,1972.95,1972.95,1,238040.33
CUST10165867662,935.78,935.78,1,191996.28
CUST10166799721,191.97,191.97,1,233529.71
CUST10172972616,521.41,521.41,1,159698.33
CUST10175728329,356.4,356.4,1,149440.3
CUST10185159136,333.78,333.78,1,305590.77
CUST10189026772,855.94,855.94,1,228726.51
CUST10190340599,231.98,231.98,1,328691.29
CUST10190722812,1544.22,1544.22,1,496079.17
CUST10195189896,4075.1,4075.1,1,437276.96
CUST10198241583,471.66,471.66,1,218268.14
CUST10205736765,382.11,382.11,1,28611.88
CUST10206966465,1018.11,1018.11,1,261409.36
CUST10209822668,2835.54,2835.54,1,22043.61
CUST10221037656,104.15,104.15,1,429888.52
CUST10221577028,336.16,336.16,1,78800.71
CUST10232192470,2159.72,2159.72,1,143944.15
CUST10235189064,89.25,89.25,1,448304.36
CUST10251114647,164.52,164.52,1,319641.24
CUST10253777066,282.74,282.74,1,412937.67
CUST10256285901,129.08,129.08,1,375693.56
CUST10259116298,426.37,426.37,1,203436.44
CUST10264170355,500.4,500.4,1,91601.68
CUST10266805568,817.93,817.93,1,414082.27
CUST10276908072,929.89,929.89,1,89703.69
CUST10289456747,660.49,660.49,1,141477.65
CUST10291382218,2580.39,2580.39,1,53071.83
CUST10293683581,280.77,280.77,1,274719.51
CUST10303402682,877.26,877.26,1,103299.08
CUST10304401362,281.49,281.49,1,303089.37
CUST10305747533,38.89,38.89,1,474598.06
CUST10311615344,578.47,578.47,1,67820.36
CUST10312949285,7470.11,7470.11,1,197698.87
CUST10314008759,558.07,558.07,1,329272.96
CUST10316334327,1073.92,1073.92,1,67910.4
CUST10323591513,488.15,488.15,1,423435.87
CUST10330370539,4124.89,4124.89,1,414009.53
CUST10331071020,954.6,954.6,1,283203.21
CUST10333170859,559.27,559.27,1,416919.73
CUST10333218071,147.09,147.09,1,316885.62
CUST10337158737,141.55,141.55,1,417618.81
CUST10341600690,1960.65,1960.65,1,6604.71
